id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,beds,price,review_scores_rating
12838497,Bright apartment in Amsterdam South,Bart,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$100.00,94
12839282,Tiny Inn - ecological tiny house on wheels + bikes,Annabelle,t,,Noord-Oost,,1,$103.00,97
12839333,"Idyllic, peaceful house + garden in trendy area!",Iva,f,Tuindorp Oostzaan,Noord-West,,2,$113.00,97
12839657,,Emilie,f,,De Baarsjes - Oud-West,,2,$157.00,
12840276,Design 4p 100m2 app w 2x2 pers Bedroom with garden,Eefje,f,Stadionbuurt,Zuid,,2,$169.00,100
12840460,"Romantic Canalside Apt, Museum Distr. Top location",Ozlem,t,,Zuid,,1,$92.00,99
12842280,Apartment for 2 by the water incl balcony!,Ayla,f,Oud-West,Westerpark,,1,$100.00,94
12842683,Great canal view loft with a roof top terrace!,Gilles,f,Grachtengordel,Centrum-West,,1,$175.00,71
12849288,Luxe appartement in hartje Pijp,Thijs,f,,De Pijp - Rivierenbuurt,,1,$204.00,
12849339,Room on the Canals at City Center,Caroline,f,Grachtengordel,Centrum-West,,1,$130.00,100
12850226,Ruime verdieping aan natuurgebied in my atelier,Mo,f,,Gaasperdam - Driemond,,2,$55.00,95
12850633,Family-friendly home near centre,Annabelle,f,Oosterparkbuurt,Oud-Oost,,3,$155.00,94
12850813,Great Apartment for families,Rachelle,f,,Bijlmer-Oost,,2,$110.00,100
12858939,Spacious apartment in De Pijp,Frederike,f,,De Pijp - Rivierenbuurt,,4,$190.00,100
12859176,Modern Loft near CENTRAL STATION,Sebastiaan,f,,Centrum-West,,2,$257.00,91
12860279,Cozy room for couples with garden in Amsterdam,Eric,f,,Geuzenveld - Slotermeer,,1,$40.00,92
12860351,Lovely apartment @ amazing location,Bas,f,Nieuwmarkt en Lastage,Centrum-Oost,,1,$150.00,80
12861075,Apartment Amsterdam,Catherine,f,,Bos en Lommer,,1,$80.00,97
12861817,Beautiful Apartment In Amsterdam Centre,Robin,f,,Centrum-West,,5,$247.00,97
12862772,Stylish and sunny apartment,Joan,f,Oud-Zuid,Zuid,,1,$120.00,99
12864011,Double room in buzzing East!,Roel,f,Oosterparkbuurt,Oud-Oost,,1,$105.00,100
12865293,Hotel in the heart of Amsterdam 2p,Feliciano,f,De Wallen,Centrum-West,,2,$103.00,96
12865495,Hotel in the heart of Amsterdam 2p,Feliciano,f,De Wallen,Centrum-West,,2,$104.00,94
12868928,cosy apartment Amsterdam south,Karisa,f,Stadionbuurt,Zuid,,1,$100.00,100
12869570,Spacious and modern apartment with roof terrace,Marianne,f,,Oud-Oost,,2,$140.00,98
12877936,Modern and new studio,Souliman,t,Bos en Lommer,Bos en Lommer,,1,$90.00,97
12878579,great house with garden in old-west,Juliet,f,,Bos en Lommer,,3,$120.00,100
12879304,Beautiful 5 bedroom appartment,Peter,f,Oud-Zuid,Zuid,,6,$240.00,98
12879452,Family House of an Architect | Modern & Warm,Marco,f,Weesperbuurt en Plantage,Centrum-Oost,,3,$291.00,87
12880158,[Pop-up Hotel Amsterdam] Not Available!!,G.,f,Watergraafsmeer,Watergraafsmeer,,6,$150.00,
12880909,steps from Leidse Square,Veronika,t,,Centrum-Oost,,0,$106.00,95
12881012,Bright & cosy apt. near RAI/Pijp,Sylvia,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$100.00,93
12881579,Cosy & comfortable family house,Margje,f,,Bos en Lommer,,2,$159.00,96
12885546,Beautiful & comfortable apartment next to Amstel!,George,f,Oosterparkbuurt,Oud-Oost,,2,$130.00,96
12885866,VanGogh room-15 mins from centre in green suburb!,Anna,f,Slotermeer-Noordoost,Geuzenveld - Slotermeer,,1,$40.00,93
12886940,Luxerious and Spacious Apartment,Sophie,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$120.00,99
12888222,Modern apartment in Amsterdam business district,Arthur,f,Buitenveldert-West,Buitenveldert - Zuidas,,1,$99.00,80
12895396,Stylish & Modern Apartment in centre of Amsterdam,Eva,f,,Centrum-West,,1,$100.00,91
12896261,"Luxury apartment in Old West, with garden!",Emile,f,,De Baarsjes - Oud-West,,1,$135.00,99
12897197,Cosy apartment in most fashionable part of town,Mark,t,De Pijp,De Pijp - Rivierenbuurt,,2,$100.00,98
12897731,Cosy house near city center,Sanne,f,,Westerpark,,1,$85.00,100
12898673,Hotel in the heart of Amsterdam 1p,Feliciano,f,De Wallen,Centrum-West,,1,$73.00,97
12898795,"Cosy apartment in 'De Pijp', close to the centre!",Rosa,f,De Pijp,De Pijp - Rivierenbuurt,,1,$150.00,100
12902737,Spacious family apartment with rooftop balcony,Cédric,f,Watergraafsmeer,Watergraafsmeer,,4,$156.00,94
12903051,Spacious apartment : perfect for couples!,Maurits & Sophie,f,,Oud-Oost,,2,$140.00,100
12908289,Gorgeous & Spacious Canal Apartment,Eline,f,Oud-West,De Baarsjes - Oud-West,,1,$414.00,99
12908561,"Hotel in the heart of Amsterdam, Single room",Feliciano,f,De Wallen,Centrum-West,,1,$73.00,95
12909346,Apartment with spacious sunny balcony next to park,Bobby,f,Bos en Lommer,Bos en Lommer,,1,$83.00,100
12910752,Spacious familyplace nearby centre!,Katrín,f,,Oud-Oost,,1,$96.00,100
12912150,Room in city centre near Nieuwmarkt,Frank,f,,Centrum-Oost,,4,$200.00,100
12919271,"Comfy, family house & large garden",Fleur,f,Slotermeer-Noordoost,Geuzenveld - Slotermeer,,4,$125.00,87
12920292,Lovely Familyhouse near Museum Area,Kim,f,Oud-West,De Baarsjes - Oud-West,,4,$315.00,100
12920302,Beautiful apartment Vondelpark,Matthijs,f,,De Baarsjes - Oud-West,,2,$180.00,
12922586,"Cosy, Sunny and Centrical flat!",Fanny,f,,De Baarsjes - Oud-West,,1,$100.00,
12925089,Flat in Jordaan next to Westerkerk,Jamie,f,Grachtengordel,Centrum-West,,1,$99.00,
12927726,60m² cosy and light apartment in Amsterdam West,Johan,f,Oud-West,De Baarsjes - Oud-West,,1,$139.00,99
12929968,Wonderful appt with garden/parkview,Jeroen & Rosanne,f,Oud-West,De Baarsjes - Oud-West,,1,$95.00,99
12931071,Cozy apartment in Westerpark,Jenny,f,,Westerpark,,0,$110.00,73
12937434,Modern city apartment with amazing view,Sandra,f,,Westerpark,,1,$150.00,80
12940835,Cosy light appartment @ lively eastside,Maaike,f,,Oostelijk Havengebied - Indische Buurt,,1,$79.00,95
12940893,"Beautiful, cozy apartment next to the Vondelpark",Leonie,f,Oud-West,De Baarsjes - Oud-West,,1,$120.00,100
12947502,Great appartment in Amsterdam West,Joni,f,,Bos en Lommer,,1,$89.00,100
12949044,Bright apartment in city centre,Juul,f,,Centrum-West,,2,$125.00,100
12949094,Stylish and light apartment in Amsterdam,Monique,f,Oosterparkbuurt,Oud-Oost,,1,$169.00,99
12950732,Quiet cozy place Amsterdam Center,Dennis,f,Weesperbuurt en Plantage,Centrum-Oost,,1,$150.00,94
12951891,Beautiful & bright 5 room apartment in Amsterdam!,Liselot,f,,De Baarsjes - Oud-West,,5,$150.00,90
12957943,Awesome room near the Vondelpark,Ashraf,f,Oud-Zuid,Zuid,,1,$65.00,90
12959197,"Modern, newly decorated @hip area close to Jordaan",Arie,f,Oud-West,Westerpark,,1,$95.00,95
12960868,[Pop-up Hotel Amsterdam] Not Available!!,G.,f,Watergraafsmeer,Watergraafsmeer,,3,$500.00,
12962682,"Light, spacious & child friendy rooftop apartment",Mirjam,f,De Pijp,De Pijp - Rivierenbuurt,,2,$207.00,
12963180,Beautiful apartment near to the famous Vondelpark!,Emma,f,Oud-West,De Baarsjes - Oud-West,,1,$120.00,100
12966085,Beautiful & quiet family house in upcoming East,Maarten,f,Watergraafsmeer,Watergraafsmeer,,3,$135.00,87
12970450,little charming family house,Marit,f,,Oud-Noord,,4,$110.00,93
12970674,"Ensuite bathroom, great location",Parag,t,,Centrum-Oost,,1,$100.00,99
12971906,Authentic Amsterdam Canal Apt WITH PRIVATE CHEF,Hicham,f,De Wallen,Centrum-West,,1,$57.00,92
12972142,Canalview apartment in BOLO area,Jasper,f,Oud-West,Bos en Lommer,,1,$125.00,87
12974828,Family house with garden near the Vondelpark,Cees,f,Oud-West,De Baarsjes - Oud-West,,5,$225.00,93
12975581,Sunny apartment at perfect location,Jeroen,f,Frederik Hendrikbuurt,Westerpark,,1,$100.00,93
12976739,SPACIOUS flat in the 9 streets,Maurane,f,Grachtengordel,Centrum-West,,2,$260.00,96
12977054,Central in Amsterdam during summer,Andreas,f,Oud-West,De Baarsjes - Oud-West,,1,$50.00,
12977165,Modern & bright design appartement,Buket,f,Bos en Lommer,Bos en Lommer,,1,$156.00,97
12977264,Brand New Modern Apartment - Center,Cecilia,f,Amsterdam Centrum,Centrum-West,,2,$165.00,
12977417,MODERN & BRIGHT APARTMENT,Annette,f,,Bos en Lommer,,1,$110.00,90
12978648,Lovely Light Filled Apartment,Julia,f,Frederik Hendrikbuurt,Westerpark,,1,$100.00,98
12978761,Beautifull apt in popular Amsterdam old west,Sander,f,Oud-West,De Baarsjes - Oud-West,,1,$122.00,98
12982933,Convenient & cozy near Vondelpark and Leidseplein,Alex,f,,De Baarsjes - Oud-West,,1,$150.00,
12984704,central amsterdam apartment,Kadir,f,Nieuwmarkt en Lastage,Centrum-Oost,,2,$165.00,
12986116,Master Bedroom - Close to Amsterdam Center,Giulio,f,Indische Buurt,Oostelijk Havengebied - Indische Buurt,,1,$69.00,94
12986318,"Spacious, light & trendy apartment for catlovers!",Nejifi,f,Indische Buurt,Oostelijk Havengebied - Indische Buurt,,2,$147.00,100
12992692,Nice spacious apartment near the famous Vondelpark,Tessa,f,,De Baarsjes - Oud-West,,1,$115.00,93
12993246,Lovely family apartment Westerpark/Jordaan area,Celine,f,,Westerpark,,2,$200.00,
12994809,Canal View Apartment,Chelsea,f,,De Baarsjes - Oud-West,,1,$130.00,88
12996166,Amsterdam,Kimberly,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$35.00,
12997843,Bright 1 bedroom apartment with balcony,Jan,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$176.00,91
13003301,"Airy, modern apartment with a view",Nina,f,,Bos en Lommer,,1,$90.00,100
13004307,Private 100m2 apartment in green city centre,Carmen,f,Oostelijke Eilanden en Kadijken,Centrum-Oost,,2,$175.00,96
13008870,Charming apartment in De Pijp (near City Centre),Liselotte,f,,De Pijp - Rivierenbuurt,,1,$130.00,99
13008911,Spacious unique modern design home,Jessica,f,Oosterparkbuurt,Oud-Oost,,2,$350.00,
13009213,Top family house + garden in centre,Geert,f,Oud-West,De Baarsjes - Oud-West,,3,$166.00,93
13009562,Amazing 2 story apartment near Vondelpark,Fleur,f,Museumkwartier,Zuid,,4,$350.00,
13013727,Sensational 2-bed Jordaan apartment,Michael,t,,Centrum-West,,2,$320.00,97
13013924,"Private cosy room,with balcony,next to Vondelpark",Valentina,f,Hoofddorppleinbuurt,Zuid,,1,$60.00,91
13014367,"Amsterdam, along canal &near centre",Cin,f,Oud-West,De Baarsjes - Oud-West,,2,$120.00,60
13017363,Great place near Westerpark/Jordaan,Isabelle,f,,Westerpark,,1,$125.00,98
13021524,"Light, modern apartment in Amsterdam city center",Raisa,f,Oosterparkbuurt,Oud-Oost,,1,$150.00,98
13025803,In middle of Westerpark & amazing roof top terrace,Malou,f,Oud-West,Westerpark,,3,$150.00,100
13026010,"Beautiful, luxurious 4p apartment with garden!",Bernard,f,Frederik Hendrikbuurt,Westerpark,,2,$250.00,
13026794,"Modern, bright and grondfloor appartment!",Michiel,f,Hoofddorppleinbuurt,Zuid,,1,$125.00,100
13027353,Modern apartment near Dam square,Jef,f,,Centrum-West,,1,$175.00,100
13027483,Light apartment in top location,Iringo,f,,De Pijp - Rivierenbuurt,,2,$123.00,100
